RESERVOIR node 5 TOPPSY
reservoir_init_fr= 0.90000  masl=650.149
Filling at HRW [Mm3] = 395.17000
Filling at LRW [Mm3] = 268.53000
Active reservoir capacity [Mm3] = 126.64000
yyyy mm dd hh [m3/s] [Euro/MWh] [fr] [m3/s] [Mm3] [masl] [fr] [Euro]         [m3/s]     [m3/s]    [m3/s]   [m3/s]    [m3/s] 
yyyy mm dd hh Inflow Price Action Up_Inflow Res_Mm3 Res_masl Res_fr lrw_cost tunnelflow hatchflow overflow auto_qmin tot_outflow
2022 9 1 0 0.3100 495.0100 0.0000 1.8986 382.5140 647.0080 0.9001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 1 1 0.3000 494.9900 0.0000 1.1235 382.5191 647.0092 0.9001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 1 2 0.3000 490.5800 0.0000 1.2643 382.5247 647.0106 0.9001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 1 3 0.3000 501.0100 0.0000 1.7265 382.5320 647.0123 0.9002 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 1 4 0.3000 568.4400 0.0000 2.1822 382.5409 647.0144 0.9003 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 1 5 0.3000 590.4500 0.0000 2.5375 382.5512 647.0168 0.9004 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 1 6 0.3000 643.5100 0.0000 2.7869 382.5623 647.0194 0.9004 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 1 7 0.3000 639.9000 0.0000 2.9507 382.5740 647.0222 0.9005 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 1 8 0.3000 595.2600 0.0000 3.0534 382.5860 647.0251 0.9006 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 1 9 0.2900 577.0100 0.0000 3.1156 382.5983 647.0280 0.9007 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 1 10 0.2900 534.6000 0.0000 3.1523 382.6107 647.0309 0.9008 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 1 11 0.2900 507.1900 0.0000 3.1734 382.6232 647.0338 0.9009 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 1 12 0.2900 503.4000 0.0000 3.1854 382.6357 647.0368 0.9010 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 1 13 0.2900 523.5600 0.0000 3.1920 382.6482 647.0398 0.9011 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 1 14 0.2900 552.6500 0.0000 3.1957 382.6608 647.0427 0.9012 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 1 15 0.2900 575.6100 0.0000 3.1977 382.6733 647.0457 0.9013 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 1 16 0.2900 615.1800 0.0000 3.1988 382.6859 647.0487 0.9014 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 1 17 0.2800 649.8000 0.0000 3.1994 382.6984 647.0516 0.9015 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 1 18 0.2800 673.7200 0.0000 3.1997 382.7109 647.0546 0.9016 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 1 19 0.2800 658.0800 0.0000 3.1998 382.7235 647.0576 0.9017 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 1 20 0.2800 627.5700 0.0000 3.1999 382.7360 647.0605 0.9018 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 1 21 0.2800 560.7000 0.0000 3.2000 382.7485 647.0635 0.9019 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 1 22 0.2800 507.1200 0.0000 3.2000 382.7610 647.0664 0.9020 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 1 23 0.2800 471.8500 0.0000 3.2000 382.7736 647.0694 0.9021 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 2 0 0.2800 433.2400 0.0000 3.2000 382.7861 647.0724 0.9022 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 2 1 0.2800 409.0500 0.0000 3.2000 382.7986 647.0753 0.9023 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 2 2 0.2800 375.2400 0.0000 3.2000 382.8111 647.0783 0.9024 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 2 3 0.2700 406.1400 0.0000 3.2000 382.8236 647.0812 0.9025 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 2 4 0.2700 448.6600 0.0000 3.2000 382.8361 647.0842 0.9026 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 2 5 0.2700 533.3700 0.0000 3.2000 382.8486 647.0871 0.9027 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 2 6 0.2700 567.7100 0.0000 3.2000 382.8611 647.0901 0.9028 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 2 7 0.2700 584.6700 0.0000 3.2000 382.8736 647.0931 0.9029 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 2 8 0.2700 549.3000 0.0000 3.2000 382.8861 647.0960 0.9030 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 2 9 0.2700 514.7700 0.0000 3.2000 382.8986 647.0990 0.9031 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 2 10 0.2600 428.5100 0.0000 3.2000 382.9110 647.1019 0.9032 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 2 11 0.2600 292.7800 0.0000 3.2000 382.9235 647.1048 0.9033 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 2 12 0.2600 271.2500 0.0000 3.2000 382.9360 647.1078 0.9034 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 2 13 0.2600 273.1100 0.0000 3.2000 382.9484 647.1107 0.9035 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 2 14 0.2600 321.3800 0.0000 3.2000 382.9609 647.1137 0.9036 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 2 15 0.2600 396.6400 0.0000 3.2000 382.9733 647.1166 0.9037 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 2 16 0.2600 491.8000 0.0000 3.2000 382.9858 647.1196 0.9038 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 2 17 0.2600 552.5100 0.0000 3.2000 382.9982 647.1225 0.9039 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
